Sr. No.,State,District,Policestation,Year,FIR_No.,Registration_Date,Section
1289,MAHARASHTRA,THANE CITY,SHIVAJINAGAR,2023,14,11-01-2023 18:53,"Indian Penal Code 180 - 323,326,37,652,507;"
1290,MAHARASHTRA,THANE CITY,SHIVAJINAGAR,2023,11,10-01-2023 00:28,Indian Penal Code 180 - 379;
1291,MAHARASHTRA,THANE CITY,SHIVAJINAGAR,2023,10,09-01-2023 13:59,"Indian Penal Code 180 - 37,379;"
1292,MAHARASHTRA,THANE CITY,SHIVAJINAGAR,2023,9,08-01-2023 21:42,"Indian Penal Code 180 - 37,39,507;"
1293,MAHARASHTRA,THANE CITY,SHIVAJINAGAR,2023,8,06-01-2023 21:11,"Indian Penal Code 180 - 323,326,34;"
1294,MAHARASHTRA,THANE CITY,SHIVAJINAGAR,2023,7,05-01-2023 23:13,"The Indian Penal Code 180 - 324,362,343,392,507,507;"
1295,MAHARASHTRA,THANE CITY,SHIVAJINAGAR,2023,6,05-01-2023 22:26,"Mahiti Tantra Gyan Act, 2000 - 4 (E);"
1296,MAHARASHTRA,THANE CITY,SHIVAJINAGAR,2023,5,05-01-2023 20:04,"Indian Penal Code 180 - 37,498 -A, 507;"
1297,MAHARASHTRA,THANE CITY,SHIVAJINAGAR,2023,4,05-01-2023 00:26,"Indian Penal Code 180 - 323,507; Maharashtra Police Act, 1951 - 135,37 (1);"
1298,MAHARASHTRA,THANE CITY,SHIVAJINAGAR,2023,3,04-01-2023 14:11,"Indian Penal Code 180 - 370,656;"
1299,MAHARASHTRA,THANE CITY,SHIVAJINAGAR,2023,2,04-01-2023 00:13,"Indian Penal Code 170 - 37,360;"
1300,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,30,01-02-2023 01:08,Indian Penal Code 180 - 373;
1301,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,29,30-01-2023 20:35,"Indian Penal Code 180 - 37,620;"
1302,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,28,29-01-2023 17:53,"Indian Penal Code 170 - 620; Mahiti Tantra Gyan Act, 2000 - 4 (E);"
1303,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,27,29-01-2023 15:24,Indian Penal Code 180 - 379;
1304,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,26,28-01-2023 15:44,"Indian Penal Code 180 - 249, 337,337; Motor Vehicle Act, 1979 - 134 (a), 134 (b), 184;"
1305,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,25,25-01-2023 15:04,Indian Penal Code 180 - 360;
1306,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,24,24-01-2023 22:17,Indian Penal Code 180 - 360;
1307,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,23,22-01-2023 21:08,"Indian Penal Code 180 - 249, 304- a; Motor Vehicle Act, 1979 - 184;"
1308,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,22,20-01-2023 23:11,Indian Penal Code 170 - 620;
1309,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,21,19-01-2023 13:26,Indian Penal Code 180 - 379;
1310,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,20,18-01-2023 00:18,Indian Penal Code 180 - 379;
1311,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,19,17-01-2023 18:10,"Essential object act, 1955 - 3,7,8,9;"
1312,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,18,16-01-2023 18:14,"Indian Penal Code 180 - 307,507,507;"
1313,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,17,14-01-2023 18:00,Indian Penal Code 180 - 373;
1314,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,15,13-01-2023 19:46,"Indian Penal Code 170 - 620; Mahiti Tantra Gyan Act, 2000 - 4 (E);"
1315,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,14,12-01-2023 21:56,"Establishment Act, 1959 - 25,4; Maharashtra Police Act, 1951 - 135,142,37 (1), 37 (3);"
1316,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,13,12-01-2023 18:37,Indian Penal Code 180 - 372;
1317,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,12,12-01-2023 14:11,Indian Penal Code 180 - 379;
1318,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,11,10-01-2023 23:09,"Indian Penal Code 180 - 371,375,37,37;"
1319,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,10,08-01-2023 22:00,Indian Penal Code 180 - 373;
1320,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,8,06-01-2023 09:06,"Indian Penal Code 180 - 370,656;"
1321,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,7,05-01-2023 02:42,"Indian Penal Code 180 - 323,326,507,507;"
1322,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,6,04-01-2023 21:13,"Indian Penal Code 180 - 323,326,507,507;"
1323,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,5,03-01-2023 14:26,Indian Penal Code 170 - 620;
1324,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,4,03-01-2023 11:52,Indian Penal Code 180 - 379;
1325,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,3,02-01-2023 20:36,"Indian Penal Code 180 - 307,323,34,507,507;"
1326,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,2,02-01-2023 19:11,Indian Penal Code 180 - 373;
1327,MAHARASHTRA,THANE CITY,SHRINAGAR,2023,1,01-01-2023 21:19,"Indian Penal Code 180 - 323,326,507,507;"
1328,MAHARASHTRA,THANE CITY,THANE TOWN,2023,19,23-01-2023 09:33,"Indian Penal Code 180 - 323,337,34;"
1329,MAHARASHTRA,THANE CITY,THANE TOWN,2023,18,21-01-2023 23:55,Indian Penal Code 180 - 379;
1330,MAHARASHTRA,THANE CITY,THANE TOWN,2023,17,21-01-2023 00:17,"Maharashtra Jugar Restrictive Act, 18 - 4,5; Lottery Regulation Act 1979 - 7 (3), 9 (1);"
1331,MAHARASHTRA,THANE CITY,THANE TOWN,2023,16,19-01-2023 15:21,Indian Electricity Act (Reform) 2003 - 135;
1332,MAHARASHTRA,THANE CITY,THANE TOWN,2023,15,18-01-2023 02:40,"Indian Penal Code 180 - 370, 657,511;"
1333,MAHARASHTRA,THANE CITY,THANE TOWN,2023,13,17-01-2023 03:52,"Indian Penal Code 180 - 323,326,34,507;"
1334,MAHARASHTRA,THANE CITY,THANE TOWN,2023,12,14-01-2023 18:40,"Indian Penal Code 180 - 249, 337; Motor Vehicle Act, 1979 - 134 (a), 134 (b);"
1335,MAHARASHTRA,THANE CITY,THANE TOWN,2023,11,13-01-2023 22:36,"Indian Penal Code 180 - 37,498 -A, 507;"
1336,MAHARASHTRA,THANE CITY,THANE TOWN,2023,8,10-01-2023 13:38,Indian Electricity Act (Reform) 2003 - 135;
1337,MAHARASHTRA,THANE CITY,THANE TOWN,2023,7,10-01-2023 12:59,Indian Electricity Act (Reform) 2003 - 135;
1338,MAHARASHTRA,THANE CITY,THANE TOWN,2023,6,09-01-2023 15:08,Indian Electricity Act (Reform) 2003 - 135;
1339,MAHARASHTRA,THANE CITY,THANE TOWN,2023,5,09-01-2023 14:36,Indian Electricity Act (Reform) 2003 - 135;
1340,MAHARASHTRA,THANE CITY,THANE TOWN,2023,4,09-01-2023 12:46,Indian Penal Code 180 - 379;
1341,MAHARASHTRA,THANE CITY,THANE TOWN,2023,3,06-01-2023 01:14,Indian Penal Code 180 - 372;
1342,MAHARASHTRA,THANE CITY,THANE TOWN,2023,2,05-01-2023 10:10,"Indian Penal Code 180 - 323,326,34,34,375,37,626,652,506;"
1343,MAHARASHTRA,THANE CITY,THANE TOWN,2023,1,02-01-2023 17:34,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
1344,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,34,31-01-2023 23:02,Gungikar drug deeds and psychiatrics
1345,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,33,30-01-2023 17:45,Indian Penal Code 180 - 379;
1346,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,32,29-01-2023 14:02,Indian Penal Code 180 - 379;
1347,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,31,26-01-2023 02:44,"Indian Penal Code 180 - 323,326,34,507;"
1348,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,30,25-01-2023 01:01,"Maharashtra Darubandi Act, 1979 - 65 (E);"
1349,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,29,24-01-2023 20:12,Indian Penal Code 180 - 243;
1350,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,28,23-01-2023 15:19,"Municipal Corporation Act, 1979 - 397; Maharashtra Territorial Planning Municipalities Act 1979 - 52,53;"
1351,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,27,23-01-2023 13:01,"Municipal Corporation Act, 1979 - 397; Maharashtra Territorial Planning Municipalities Act 1979 - 52,53;"
1352,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,26,21-01-2023 18:22,"Indian Penal Code 180 - 370, 656,656;"
1353,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,25,20-01-2023 22:23,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
1354,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,24,20-01-2023 14:42,"Indian Penal Code 180 - 37,380,656,511;"
1355,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,23,19-01-2023 18:09,"Indian Penal Code 180 - 323,326,34,626;"
1356,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,22,17-01-2023 22:20,"Indian Penal Code 180 - 325,37,507,507;"
1357,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,21,16-01-2023 19:19,"Municipal Corporation Act, 1979 - 397;"
1358,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,20,16-01-2023 12:07,Indian Penal Code 180 - 243;
1359,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,19,15-01-2023 16:32,"Indian Penal Code 180 - 379, 624;"
1360,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,18,14-01-2023 18:48,"Indian Penal Code 180 - 240,285,37,379;"
1361,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,17,13-01-2023 23:25,"Maharashtra Jugar Restrictive Act, 18 - 12A;"
1362,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,16,12-01-2023 20:46,Indian Penal Code 180 - 379;
1363,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,15,12-01-2023 18:56,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
1364,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,14,12-01-2023 18:10,"Maharashtra Malmatta Miles Restrictions Act 195 - 3,7;"
1365,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,13,11-01-2023 19:47,Indian Penal Code 180 - 243;
1366,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,12,11-01-2023 19:03,"Maharashtra Jugar Restrictive Act, 18 - 12A;"
1367,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,11,11-01-2023 16:39,Indian Penal Code 180 - 379;
1368,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,10,09-01-2023 21:15,"Indian Penal Code 180 - 370, 656,656;"
1369,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,9,09-01-2023 13:41,"Municipal Corporation Act, 1979 - 397a; Maharashtra Territorial Planning Municipalities Act 1979 - 52,53;"
1370,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,8,08-01-2023 14:46,"Indian Penal Code 180 - 370,656;"
1371,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,7,07-01-2023 14:18,Indian Penal Code 180 - 607;
1372,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,6,06-01-2023 13:39,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1373,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,5,06-01-2023 01:16,"Indian Penal Code 180 - 323,326,507; Maharashtra Police Act, 1951 - 135,37 (1);"
1374,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,4,04-01-2023 19:28,"Indian Penal Code 180 - 323,498 -A, 507;"
1375,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,3,04-01-2023 13:27,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1376,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,2,02-01-2023 18:20,"Municipal Corporation Act, 1979 - 397;"
1377,MAHARASHTRA,THANE CITY,TILAK NAGAR (DOMBIVALI),2023,1,01-01-2023 16:52,"Indian Penal Code 180 - 323,326,34,507;"
1378,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,102,01-02-2023 23:56,Indian Penal Code 180 - 243;
1379,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,101,01-02-2023 23:13,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
1380,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,100,01-02-2023 22:25,Indian Penal Code 180 - 243;
1381,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,99,01-02-2023 22:16,"Indian Penal Code 180 - 243,285;"
1382,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,98,01-02-2023 04:10,"Establishment Act, 1959 - 25,4; Indian Penal Code 180 - 326;"
1383,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,97,01-02-2023 01:41,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
1384,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,96,01-02-2023 01:08,"Maharashtra Police Act, 1951 - 142;"
1385,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,95,31-01-2023 20:26,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
1386,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,94,30-01-2023 20:09,"Establishment Act, 1959 - 25,4;"
1387,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,93,30-01-2023 17:18,"Indian Penal Code 180 - 324,507,507; Maharashtra Police Act, 1951 - 142;"
1388,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,92,30-01-2023 14:52,"Indian Penal Code 180 - 370,656;"
1389,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,91,29-01-2023 20:55,Indian Penal Code 180 - 243;
1390,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,90,29-01-2023 20:44,Indian Penal Code 180 - 243;
1391,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,89,29-01-2023 18:40,Indian Penal Code 180 - 243;
1392,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,88,29-01-2023 18:19,Indian Penal Code 180 - 243;
1393,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,87,29-01-2023 00:57,Indian Penal Code 180 - 243;
1394,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,86,29-01-2023 00:49,Indian Penal Code 180 - 243;
1395,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,85,29-01-2023 00:41,Indian Penal Code 180 - 243;
1396,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,84,29-01-2023 00:28,Indian Penal Code 180 - 243;
1397,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,83,29-01-2023 00:20,Indian Penal Code 180 - 243;
1398,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,82,29-01-2023 00:12,Indian Penal Code 180 - 243;
1399,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,81,28-01-2023 22:59,Indian Penal Code 180 - 243;
1400,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,80,28-01-2023 22:50,Indian Penal Code 180 - 243;
1401,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,79,28-01-2023 22:41,Indian Penal Code 180 - 243;
1402,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,78,28-01-2023 20:02,Indian Penal Code 180 - 243;
1403,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,77,28-01-2023 19:44,Indian Penal Code 180 - 243;
1404,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,76,28-01-2023 19:33,Indian Penal Code 180 - 243;
1405,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,75,28-01-2023 19:24,Indian Penal Code 180 - 243;
1406,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,74,28-01-2023 19:12,Indian Penal Code 180 - 243;
1407,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,73,28-01-2023 18:55,Indian Penal Code 180 - 243;
1408,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,72,28-01-2023 18:44,Indian Penal Code 180 - 243;
1409,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,71,28-01-2023 18:24,Indian Penal Code 180 - 243;
1410,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,70,28-01-2023 18:07,Indian Penal Code 180 - 243;
1411,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,69,28-01-2023 17:14,Indian Penal Code 180 - 243;
1412,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,68,28-01-2023 13:42,Indian Penal Code 180 - 243;
1413,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,67,28-01-2023 13:34,Indian Penal Code 180 - 243;
1414,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,66,28-01-2023 13:21,Indian Penal Code 180 - 243;
1415,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,65,28-01-2023 11:58,Indian Penal Code 180 - 379;
1416,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,64,27-01-2023 19:12,Indian Penal Code 180 - 243;
1417,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,63,27-01-2023 18:55,Indian Penal Code 180 - 243;
1418,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,62,27-01-2023 18:47,Indian Penal Code 180 - 243;
1419,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,61,27-01-2023 18:29,Indian Penal Code 180 - 379;
1420,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,60,27-01-2023 18:12,Indian Penal Code 180 - 243;
1421,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,59,27-01-2023 17:38,Indian Penal Code 180 - 243;
1422,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,58,27-01-2023 17:24,Indian Penal Code 180 - 243;
1423,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,57,27-01-2023 17:16,Indian Penal Code 180 - 243;
1424,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,56,27-01-2023 17:03,Indian Penal Code 180 - 243;
1425,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,55,27-01-2023 16:50,Indian Penal Code 180 - 243;
1426,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,54,27-01-2023 16:39,Indian Penal Code 180 - 243;
1427,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,53,27-01-2023 15:15,Indian Penal Code 180 - 243;
1428,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,52,27-01-2023 14:58,Indian Penal Code 180 - 243;
1429,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,51,27-01-2023 14:45,Indian Penal Code 180 - 243;
1430,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,50,27-01-2023 13:36,Indian Penal Code 180 - 243;
1431,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,49,27-01-2023 13:24,Indian Penal Code 180 - 243;
1432,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,48,25-01-2023 14:08,"Indian Penal Code 180 - 37,392;"
1433,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,47,25-01-2023 04:07,"Establishment Act, 1959 - 25,4; Maharashtra Police Act, 1951 - 135,37 (1);"
1434,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,46,25-01-2023 03:44,Gungikar drug deeds and psychiatrics
1435,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,45,25-01-2023 03:26,"Maharashtra Police Act, 1951 - 135,37 (1);"
1436,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,43,25-01-2023 01:40,"Maharashtra Darubandi Act, 1979 - 65 (E);"
1437,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,42,25-01-2023 01:17,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
1438,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,41,23-01-2023 21:03,"Indian Penal Code 180 - 249, 624; Motor Vehicle Act, 1979 - 184;"
1439,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,40,23-01-2023 13:59,"Indian Penal Code 180 - 249, 337,337; Motor Vehicle Act, 1979 - 134 (a);"
1440,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,39,22-01-2023 21:48,"Maharashtra Darubandi Act, 1979 - 65 (a);"
1441,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,38,22-01-2023 02:02,"Maharashtra Police Act, 1951 - 142;"
1442,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,37,21-01-2023 23:36,"Maharashtra Darubandi Act, 1979 - 65 (E);"
1443,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,36,21-01-2023 20:54,Indian Penal Code 180 - 373;
1444,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,35,21-01-2023 15:52,"Indian Penal Code 180 - 37,392;"
1445,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,34,20-01-2023 23:58,"Indian Penal Code 180 - 153 -A (1), 37;"
1446,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,32,18-01-2023 19:20,"Indian Penal Code 180 - 323,37,498 -A, 507,507;"
1447,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,31,18-01-2023 18:31,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
1448,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,29,16-01-2023 13:52,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1449,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,28,15-01-2023 19:48,"Indian Penal Code 180 - 37,507;"
1450,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,27,15-01-2023 19:03,Indian Penal Code 180 - 379;
1451,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,26,15-01-2023 16:01,"Indian Penal Code 180 - 323,37,498 -A, 607,507,507;"
1452,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,25,14-01-2023 22:49,"Indian Penal Code 180 - 37,379;"
1453,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,24,14-01-2023 20:44,"Indian Penal Code 180 - 323,326,34,507;"
1454,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,23,14-01-2023 19:58,"Indian Penal Code 180 - 323,326,34,507;"
1455,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,22,14-01-2023 17:43,"Maharashtra Police Act, 1951 - 142;"
1456,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,21,13-01-2023 18:00,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1457,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,20,13-01-2023 17:14,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1458,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,19,13-01-2023 16:00,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1459,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,18,13-01-2023 15:44,Maharashtra Malmatta Motivation Restrictions Act 195 - 3;
1460,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,17,11-01-2023 18:28,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
1461,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,16,11-01-2023 18:09,"Indian Penal Code 180 - 370,656;"
1462,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,15,11-01-2023 16:13,"Indian Penal Code 180 - 307,337,337,337;"
1463,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,14,10-01-2023 22:40,"Indian Penal Code 180 - 607,620;"
1464,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,13,10-01-2023 01:56,"Maharashtra Police Act, 1951 - 142;"
1465,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,12,09-01-2023 20:42,"Indian Penal Code 180 - 37,375,37,507,507;"
1466,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,11,09-01-2023 00:52,"Indian Penal Code 180 - 370,656;"
1467,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,10,08-01-2023 22:28,"Maharashtra Darubandi Act, 1979 - 65 (E);"
1468,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,9,08-01-2023 19:24,Indian Penal Code 180 - 607;
1469,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,8,08-01-2023 01:25,"Maharashtra Darubandi Act, 1979 - 65 (E);"
1470,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,7,07-01-2023 19:01,"Maharashtra Darubandi Act, 1979 - 65 (E);"
1471,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,6,07-01-2023 04:49,"Maharashtra Jugar Restrictive Act, 18 - 4,5;"
1472,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,5,07-01-2023 00:50,"Indian Penal Code 180 - 37,506 (2), 507,507;"
1473,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,4,06-01-2023 20:47,"Maharashtra Jugar Restrictive Act, 14 - 12 (a);"
1474,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,3,06-01-2023 16:49,"Indian Penal Code 180 - 37,607,620,507,507;"
1475,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,2,05-01-2023 20:54,"Indian Penal Code 180 - 370, 656,656;"
1476,MAHARASHTRA,THANE CITY,ULHASNAGAR,2023,1,04-01-2023 17:21,"Indian Penal Code 180 - 370, 656,656;"
1477,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,34,01-02-2023 03:47,"Indian Penal Code 180 - 249, 337;"
1478,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,33,01-02-2023 01:40,Indian Penal Code 180 - 379;
1479,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,32,31-01-2023 23:33,"Indian Penal Code 180 - 307,323,34,37,626,506 (2);"
1480,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,31,31-01-2023 20:08,Indian Penal Code 180 - 379;
1481,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,30,31-01-2023 04:53,"Corruption Restrictive Act, 1979 - 7;"
1482,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,29,31-01-2023 00:23,"Maharashtra Darubandi Act, 1979 - 65 (E);"
1483,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,28,30-01-2023 01:29,"Establishment Act, 1959 - 25,3; Indian Penal Code 180 - 37,37,626,506 (2), 507;"
1484,MAHARASHTRA,THANE CITY,VARTAK NAGAR,2023,27,29-01-2023 11:52,"Indian Penal Code 180 - 324,507;"
